Time (UTC),T2(Model),Temp(Obs),Obs-Model,WD(Model),WD(Obs),Obs-Model,WS(Model),WS(Obs),Obs-Model,SWDown(Model), SWLower,Obs-Model,SWUpper
05-11-2020  06,29.69315,23.42458,-6.26857,277.17126,272.4556,-4.71566,2.39916,2.3375,-0.06166,679.86139,82.9,-596.96139,484.2
05-11-2020  07,30.87003,25.72931,-5.14072,271.80103,279.35,7.54897,2.93447,2.473028,-0.461442,692.91223,92,-600.91223,539.4
05-11-2020  08,31.77731,27.40861,-4.3687,128.07767,284.0083,155.93063,0.07644,2.288708,2.212268,635.26202,87.3,-547.96202,483.8
05-11-2020  09,31.08926,28.56958,-2.51968,322.41559,301.0806,-21.33499,2.24957,1.961833,-0.287737,0,80,80,440.3
05-11-2020  10,30.9574,29.375,-1.5824,334.91089,311.3931,-23.51779,3.11073,2.614194,-0.496536,341.81467,69.89,-271.92467,380.6
05-11-2020  11,30.31125,29.34056,-0.97069,351.25439,316.9403,-34.31409,3.34126,2.229125,-1.112135,150.38049,43.36,-107.02049,210.8
05-11-2020  12,29.21909,28.72291,-0.49618,319.32928,313.6986,-5.63068,2.84129,1.554347,-1.286943,4.43986,21.94,17.50014,87.6
05-11-2020  13,27.98209,27.41708,-0.56501,342.73566,312.2347,-30.50096,1.65065,1.203014,-0.447636,0,8.21,8.21,7.956
05-11-2020  14,27.54526,25.38375,-2.16151,24.36185,99.375,75.01315,1.37928,0.8079583,-0.5713217,0,6.112,6.112,0.435
05-11-2020  15,26.86868,24.33028,-2.5384,41.96025,130.6472,88.68695,1.44387,0.7595694,-0.6843006,0,5.142,5.142,0.083
05-11-2020  16,26.16095,23.33472,-2.82623,30.50696,144.9264,114.41944,1.38906,0.4988055,-0.8902545,0,5.037,5.037,0.686
05-11-2020  17,25.4303,21.53543,-3.89487,352.93005,144.8307,-208.09935,1.23666,0.5232284,-0.7134316,0,5.233,5.233,-0.032
05-11-2020  18,24.39862,20.7525,-3.64612,311.27829,159.3153,-151.96299,1.00508,0.3643472,-0.6407328,0,4.627,4.627,0.197
