Time (UTC),T2(Model),Temp(Obs),Obs-Model,WD(Model),WD(Obs),Obs-Model,WS(Model),WS(Obs),Obs-Model,SWDown(Model), SWLower,Obs-Model,SWUpper
11-11-2020  04,24.55191,19.8868,-4.66511,86.85371,102.4819,15.62819,1.25268,0.9097222,-0.3429578,377.03821,24.08,-352.95821,179.2
11-11-2020  05,26.48206,22.88014,-3.60192,61.26846,112.3708,51.10234,2.15145,1.677208,-0.474242,485.2243,51.64,-433.5843,320.2
11-11-2020  06,27.63248,24.96861,-2.66387,67.63792,120.9375,53.29958,5.00565,1.963819,-3.041831,604.52002,77.86,-526.66002,439.3
11-11-2020  07,28.56207,26.05889,-2.50318,138.98615,105.4958,-33.49035,2.66351,2.365361,-0.298149,592.08417,83.7,-508.38417,484.8
11-11-2020  08,28.70288,26.87778,-1.8251,148.80009,114.7653,-34.03479,4.48271,2.648903,-1.833807,541.02496,86.3,-454.72496,510.1
11-11-2020  09,29.39508,27.00625,-2.38883,105.89516,108.9292,3.03404,2.7948,2.55018,-0.24462,0,78.94,78.94,466.3
11-11-2020  10,28.93869,27.13347,-1.80522,131.68098,87.21806,-44.46292,2.14345,2.311375,0.167925,302.8006,57.78,-245.0206,315.7
11-11-2020  11,28.61508,27.19333,-1.42175,120.67618,94.31944,-26.35674,2.68471,1.908694,-0.776016,138.24989,38.39,-99.85989,184
11-11-2020  12,27.55045,26.71153,-0.83892,96.33289,91.6625,-4.67039,3.26707,1.780653,-1.486417,0.22176,18.64,18.41824,72.05
11-11-2020  13,26.87,25.26625,-1.60375,114.27065,69.96806,-44.30259,3.03171,0.8607083,-2.1710017,0,6.972,6.972,5.738
11-11-2020  14,26.21948,23.75208,-2.4674,114.82458,105.4278,-9.39678,1.29686,1.260153,-0.036707,0,5.197,5.197,0.41
11-11-2020  15,25.5451,22.56472,-2.98038,93.49489,107.7083,14.21341,1.31528,1.196167,-0.119113,0,4.825,4.825,-0.688
11-11-2020  16,24.92767,20.94042,-3.98725,89.66908,101.0139,11.34482,1.58638,0.8488888,-0.7374912,0,4.673,4.673,-0.272
11-11-2020  17,24.38901,20.09486,-4.29415,89.55334,85.27639,-4.27695,1.64063,0.965736,-0.674894,0,4.792,4.792,-0.821
11-11-2020  18,23.87268,19.61028,-4.2624,77.61343,89.78334,12.16991,0.87907,0.9561666,0.0770966,0,4.321,4.321,-0.625
11-11-2020  19,23.45557,19.13917,-4.3164,83.30009,130.6806,47.38051,1.47761,0.5404722,-0.9371378,0,4.293,4.293,-0.249
11-11-2020  20,22.90335,18.95806,-3.94529,78.37316,101.3653,22.99214,1.02082,0.7248889,-0.2959311,0,4.177,4.177,-0.713
11-11-2020  21,22.5705,18.78889,-3.78161,75.41012,160.5486,85.13848,1.04706,0.9341806,-0.1128794,0,4.304,4.304,-0.875
11-11-2020  22,22.13101,18.49611,-3.6349,63.56913,201.6264,138.05727,1.06151,0.5553194,-0.5061906,0,4.031,4.031,-0.775
11-11-2020  23,21.8313,17.96542,-3.86588,52.80804,127.2722,74.46416,0.50187,0.5927917,0.0909217,0,3.762,3.762,-0.41
12-11-2020  00,21.61838,17.51042,-4.10796,62.15921,122.8611,60.70189,0.60311,0.4346944,-0.1684156,0,4.062,4.062,-0.242
12-11-2020  01,21.14191,17.03222,-4.10969,331.66211,123.5458,-208.11631,0.49285,0.7783472,0.2854972,0,3.879,3.879,-0.484
12-11-2020  02,21.43582,17.065,-4.37082,354.69128,108.6236,-246.06768,1.05398,0.5979861,-0.4559939,64.02945,4.081,-59.94845,2.342
12-11-2020  03,22.9248,17.48833,-5.43647,46.17184,177.6292,131.45736,0.80691,0.6495277,-0.1573823,232.16176,11.87,-220.29176,59.12
12-11-2020  04,25.0372,20.03625,-5.00095,42.02087,151.7625,109.74163,0.61758,0.7483888,0.1308088,398.99945,23.63,-375.36945,179.3
12-11-2020  05,27.10968,22.57417,-4.53551,87.80639,42.04861,-45.75778,1.16394,1.427153,0.263213,516.84204,46.21,-470.63204,308
12-11-2020  06,28.16498,25.08708,-3.0779,97.91846,121.0514,23.13294,2.88931,1.428208,-1.461102,608.71552,69.45,-539.26552,411.5
12-11-2020  07,28.92447,26.19542,-2.72905,87.1598,195.0333,107.8735,1.93149,1.680833,-0.250657,622.08453,75.47,-546.61453,446.7
12-11-2020  08,29.29153,26.79694,-2.49459,67.53354,118.4542,50.92066,2.04023,1.862736,-0.177494,513.83826,72.16,-441.67826,421.8
12-11-2020  09,28.8866,27.28208,-1.60452,97.58846,136.2097,38.62124,1.22795,1.501222,0.273272,0,66.38,66.38,383
12-11-2020  10,28.63495,27.22611,-1.40884,79.79301,109.3514,29.55839,3.33386,1.699778,-1.634082,277.88968,48.62,-229.26968,256.3
12-11-2020  11,28.09448,27.0843,-1.01018,100.90508,82.23611,-18.66897,1.16626,1.569931,0.403671,115.20863,32.75,-82.45863,157.6
12-11-2020  12,27.07434,26.4068,-0.66754,182.39116,38.30694,-144.08422,3.81165,1.503639,-2.308011,0,14.39,14.39,55.32
12-11-2020  13,26.31,25.0768,-1.2332,184.94424,70.62083,-114.32341,2.16484,1.001597,-1.163243,0,6.219,6.219,4.742
12-11-2020  14,25.62082,23.93278,-1.68804,282.76465,88.56111,-194.20354,0.7671,0.9387083,0.1716083,0,5.279,5.279,1
12-11-2020  15,25.29831,23.14097,-2.15734,253.7623,158.1222,-95.6401,0.98677,0.5828333,-0.4039367,0,4.085,4.085,1.03
12-11-2020  16,24.87277,22.38472,-2.48805,233.81471,203.7722,-30.04251,0.89776,0.5657222,-0.3320378,0,4.113,4.113,0.587
12-11-2020  17,23.8916,21.47597,-2.41563,239.27255,229.7972,-9.47535,1.28903,0.5476528,-0.7413772,0,4.142,4.142,0.504
12-11-2020  18,22.81763,21.04847,-1.76916,222.37444,242.0945,19.72006,1.97001,0.5480278,-1.4219822,0,3.876,3.876,-0.219
12-11-2020  19,22.07385,20.3043,-1.76955,245.93631,216.7431,-29.19321,1.4473,0.6023194,-0.8449806,0,4.247,4.247,0.242
12-11-2020  20,21.69666,19.72236,-1.9743,249.93472,161.2445,-88.69022,1.27114,0.5425,-0.72864,0,4.171,4.171,-1.163
12-11-2020  21,21.10135,19.09805,-2.0033,243.7206,177.1097,-66.6109,1.3324,0.6529306,-0.6794694,0,4.179,4.179,-0.27
12-11-2020  22,20.80981,18.62764,-2.18217,251.50372,171.3264,-80.17732,1.47912,0.7684583,-0.7106617,0,4.071,4.071,-0.108
12-11-2020  23,20.41397,18.05333,-2.36064,249.76158,70.58889,-179.17269,1.42057,0.9469583,-0.4736117,0,4.109,4.109,-0.832
13-11-2020  00,20.064,17.50639,-2.55761,246.61612,114.025,-132.59112,1.40679,0.4495278,-0.9572622,0,3.954,3.954,-0.356
13-11-2020  01,19.64822,17.345,-2.30322,257.02399,199.8819,-57.14209,1.53732,0.621,-0.91632,0,3.961,3.961,-0.298
13-11-2020  02,19.61066,17.27847,-2.33219,255.49338,216.5222,-38.97118,1.67982,0.7289722,-0.9508478,65.96092,4.581,-61.37992,1.751
13-11-2020  03,20.5791,17.36111,-3.21799,265.21326,265.7444,0.53114,2.05897,0.5057777,-1.5531923,240.9281,11.15,-229.7781,51.2
13-11-2020  04,22.39355,18.52,-3.87355,270.95166,298.2833,27.33164,2.09097,1.343778,-0.747192,411.45514,23.76,-387.69514,166.7
13-11-2020  05,24.87595,20.64792,-4.22803,270.99615,276.782,5.78585,1.45935,1.656667,0.197317,554.60907,44.1,-510.50907,302.5
13-11-2020  06,27.16528,23.38722,-3.77806,273.2384,296.2069,22.9685,1.69413,1.545083,-0.149047,640.79553,73.27,-567.52553,435.8
13-11-2020  07,28.4071,25.27542,-3.13168,268.09686,297.9097,29.81284,0.98956,2.327694,1.338134,655.16217,85.6,-569.56217,524.2
13-11-2020  08,28.82605,26.61111,-2.21494,21.58212,271.4903,249.90818,4.39244,1.927931,-2.464509,580.96295,84.8,-496.16295,526.5
13-11-2020  09,29.11081,27.85375,-1.25706,289.07159,223.5986,-65.47299,0.73412,1.347028,0.612908,0,75.12,75.12,466.5
13-11-2020  10,28.24164,27.69777,-0.54387,319.02786,263.6528,-55.37506,1.42394,1.716333,0.292393,295.1189,60.27,-234.8489,350.6
13-11-2020  11,28.01819,27.33764,-0.68055,266.08057,293.0222,26.94163,2.86442,1.836153,-1.028267,118.51753,39.44,-79.07753,197
13-11-2020  12,26.95456,26.80805,-0.14651,264.45856,313.1611,48.70254,3.84376,1.802791,-2.040969,0,18.71,18.71,74.13
13-11-2020  13,26.13766,25.40528,-0.73238,275.2215,256.3667,-18.8548,2.05297,1.091264,-0.961706,0,6.244,6.244,5.309
13-11-2020  14,25.10446,23.9918,-1.11266,228.59369,26.66111,-201.93258,1.5892,1.034681,-0.554519,0,4.782,4.782,0.097
13-11-2020  15,24.39349,22.64278,-1.75071,226.56357,108.1861,-118.37747,1.36942,0.5974166,-0.7720034,0,5.288,5.288,0.249
13-11-2020  16,23.72556,22.2693,-1.45626,227.11481,79.69583,-147.41898,1.275,0.463875,-0.811125,0,5.304,5.304,0.19
13-11-2020  17,23.16736,21.4375,-1.72986,234.85443,60.96528,-173.88915,1.09768,0.4695833,-0.6280967,0,4.531,4.531,0.116
13-11-2020  18,22.55536,20.355,-2.20036,228.26111,138.3472,-89.91391,1.52431,0.5649722,-0.9593378,0,4.4,4.4,-0.928
13-11-2020  19,21.89273,19.51694,-2.37579,236.30502,192.2528,-44.05222,1.39826,0.3685694,-1.0296906,0,4.011,4.011,0.21
13-11-2020  20,21.37344,18.28083,-3.09261,249.66136,140.6389,-109.02246,1.54871,0.2585416,-1.2901684,0,4.525,4.525,0.329
13-11-2020  21,20.80731,18.0775,-2.72981,250.52541,108.0708,-142.45461,1.32582,0.4713333,-0.8544867,0,4.733,4.733,-0.093
13-11-2020  22,20.35461,17.52389,-2.83072,255.32281,141.3583,-113.96451,1.44497,0.2880417,-1.1569283,0,4.693,4.693,0.008
13-11-2020  23,19.71338,17.12125,-2.59213,248.96719,244.6194,-4.34779,1.09243,0.5295556,-0.5628744,0,4.39,4.39,-0.266
14-11-2020  00,19.38651,16.43181,-2.9547,248.41721,261.3014,12.88419,1.23437,0.847861,-0.386509,0,4.319,4.319,-0.65
14-11-2020  01,19.12738,16.19333,-2.93405,248.52802,279.3472,30.81918,1.4068,1.304444,-0.102356,0,4.984,4.984,-2.616
14-11-2020  02,19.13422,15.78486,-3.34936,244.03537,273.4889,29.45353,1.04207,1.165986,0.123916,60.74283,4.842,-55.90083,0.226
14-11-2020  03,20.76981,15.81222,-4.95759,255.14168,269.35,14.20832,1.36629,0.9290138,-0.4372762,227.68585,10.59,-217.09585,40.95
14-11-2020  04,22.73572,16.78028,-5.95544,264.02115,298.6917,34.67055,1.59424,0.9905,-0.60374,400.91858,21.72,-379.19858,134
14-11-2020  05,25.08322,18.82819,-6.25503,262.95993,295.1889,32.22897,0.87406,0.9818472,0.1077872,539.53552,33.42,-506.11552,241.4
14-11-2020  06,27.17715,22.44639,-4.73076,249.11629,239.7444,-9.37189,0.95324,0.8478889,-0.1053511,624.0838,58.1,-565.9838,317.1
14-11-2020  07,28.57104,24.60653,-3.96451,96.87453,256.3055,159.43097,0.52639,0.8181666,0.2917766,638.54865,67.84,-570.70865,367.5
14-11-2020  08,29.22925,26.505,-2.72425,318.97327,259.6208,-59.35247,1.91472,0.9258888,-0.9888312,583.06299,67.45,-515.61299,371.2
14-11-2020  09,29.34116,27.40569,-1.93547,281.52921,223.0028,-58.52641,0.7899,1.077361,0.287461,0,65.38,65.38,365.4
14-11-2020  10,28.7984,27.72514,-1.07326,342.91406,114.3333,-228.58076,2.18967,1.292319,-0.897351,280.00992,50.8,-229.20992,274.5
14-11-2020  11,28.4498,26.57139,-1.87841,190.04254,80.05417,-109.98837,2.06773,2.290125,0.222395,117.54253,29.88,-87.66253,133
14-11-2020  12,27.49887,25.54236,-1.95651,248.4151,76.81944,-171.59566,1.73274,1.384681,-0.348059,0,13.52,13.52,45.7
14-11-2020  13,26.70148,23.90569,-2.79579,271.73416,89.11667,-182.61749,1.24184,1.729042,0.487202,0,5.105,5.105,3.237
14-11-2020  14,25.5405,22.2,-3.3405,59.8367,103.2963,43.4596,2.0778,1.598518,-0.479282,0,4.09,4.09,-0.489
14-11-2020  15,24.96606,21.95319,-3.01287,81.73182,116.4875,34.75568,2.24992,1.851139,-0.398781,0,4.136,4.136,-0.753
14-11-2020  16,24.52341,21.3875,-3.13591,88.31221,126.4889,38.17669,2.88082,1.362431,-1.518389,0,4.312,4.312,-0.588
14-11-2020  17,23.78308,20.92681,-2.85627,97.58396,128.0069,30.42294,2.79578,1.725833,-1.069947,0,3.612,3.612,-1.612
14-11-2020  18,23.31726,20.63819,-2.67907,105.45857,123.6694,18.21083,2.82018,1.3975,-1.42268,0,3.675,3.675,-1.001
14-11-2020  19,23.20276,19.97055,-3.23221,105.00713,119.4931,14.48597,3.38566,1.568111,-1.817549,0,3.322,3.322,-0.739
14-11-2020  20,22.95093,19.64055,-3.31038,107.37064,110.8056,3.43496,3.48357,1.434292,-2.049278,0,3.459,3.459,-0.594
14-11-2020  21,22.44739,19.08444,-3.36295,105.39382,125.4694,20.07558,2.87486,1.226194,-1.648666,0,3.257,3.257,-0.738
14-11-2020  22,22.32608,19.10097,-3.22511,114.20634,114.8597,0.65336,2.57436,1.409042,-1.165318,0,3.331,3.331,-0.768
14-11-2020  23,22.01874,18.87472,-3.14402,111.28944,116.1167,4.82726,3.43073,1.76818,-1.66255,0,3.195,3.195,-1.229
15-11-2020  00,21.75055,18.3743,-3.37625,110.6533,122.4861,11.8328,3.61253,1.795931,-1.816599,0,3.309,3.309,-1.766
15-11-2020  01,21.51694,18.24792,-3.26902,115.53418,132.7597,17.22552,2.58214,0.7996944,-1.7824456,0,3.638,3.638,-0.709
15-11-2020  02,21.80331,17.8625,-3.94081,124.58183,128.0167,3.43487,3.07707,1.528028,-1.549042,52.8088,3.572,-49.2368,0.767
15-11-2020  03,23.11475,17.96194,-5.15281,129.08577,124.8695,-4.21627,3.5551,1.415292,-2.139808,198.34665,10.03,-188.31665,46.5
15-11-2020  04,24.67712,19.69972,-4.9774,124.86734,120.2806,-4.58674,4.38394,1.721472,-2.662468,344.8894,22.83,-322.0594,150
15-11-2020  05,26.5882,22.17514,-4.41306,121.78894,154.1986,32.40966,4.03129,2.341417,-1.689873,449.58115,39.84,-409.74115,266.4
15-11-2020  06,27.98239,24.23583,-3.74656,130.69019,161.8445,31.15431,6.05272,3.837666,-2.215054,558.4574,68.59,-489.8674,380.6
15-11-2020  07,29.19571,25.91,-3.28571,140.44601,152.9,12.45399,5.64569,3.396278,-2.249412,563.96863,77.47,-486.49863,437.1
15-11-2020  08,29.4494,26.94611,-2.50329,139.57288,155.9236,16.35072,7.02751,3.325208,-3.702302,525.43549,77.27,-448.16549,441.4
15-11-2020  09,30.1666,27.48944,-2.67716,150.60983,147.9889,-2.62093,3.75495,3.090945,-0.664005,0,66.92,66.92,374.7
15-11-2020  10,30.07001,27.4625,-2.60751,150.57373,147.8875,-2.68623,4.69982,3.038194,-1.661626,261.13483,40.05,-221.08483,211.6
15-11-2020  11,28.82242,25.60847,-3.21395,162.73329,127.0903,-35.64299,4.50815,2.100597,-2.407553,106.77755,14.53,-92.24755,26.03
15-11-2020  12,27.46826,22.05694,-5.41132,155.01218,183.8597,28.84752,4.97061,2.717597,-2.253013,0,17.04,17.04,15.69
15-11-2020  13,26.5929,21.62,-4.9729,142.50313,150.975,8.47187,4.92889,4.043652,-0.885238,0,10.05,10.05,5.022
15-11-2020  14,25.77286,21.07403,-4.69883,134.58636,143.3417,8.75534,5.11904,2.797847,-2.321193,0,3.267,3.267,-1
15-11-2020  15,25.00842,20.40736,-4.60106,134.15092,130.7028,-3.44812,5.85226,2.422042,-3.430218,0,2.785,2.785,-1.007
15-11-2020  16,24.29459,20.43972,-3.85487,130.74818,129.4347,-1.31348,5.39573,2.277056,-3.118674,0,2.572,2.572,-1.055
15-11-2020  17,23.55017,20.23361,-3.31656,107.65669,131.6597,24.00301,4.55224,2.534361,-2.017879,0,1.998,1.998,-0.807
15-11-2020  18,22.7634,19.87403,-2.88937,106.84132,98.44444,-8.39688,5.00257,2.966528,-2.036042,0,2.028,2.028,-0.657
15-11-2020  19,22.17087,19.58722,-2.58365,105.43812,114.082,8.64388,5.35496,2.831597,-2.523363,0,2.194,2.194,-0.919
15-11-2020  20,21.85556,18.97,-2.88556,91.73952,111,19.26048,4.60855,1.875792,-2.732758,0,3.007,3.007,-1.114
15-11-2020  21,20.82413,18.74264,-2.08149,82.76685,118.7111,35.94425,5.26976,2.969139,-2.300621,0,2.666,2.666,-1.463
15-11-2020  22,20.20523,18.1543,-2.05093,81.62959,128.0847,46.45511,5.43224,2.361014,-3.071226,0,2.632,2.632,-1.408
15-11-2020  23,19.69254,18.09319,-1.59935,74.37604,100.9972,26.62116,5.63753,2.497486,-3.140044,0,2.501,2.501,-1.154
16-11-2020  00,19.3519,18.01444,-1.33746,73.74133,66.16528,-7.57605,5.3404,1.77025,-3.57015,0,1.159,1.159,0.111
16-11-2020  01,19.08969,17.91403,-1.17566,75.61471,75.3375,-0.27721,5.53104,3.256792,-2.274248,0,0.517,0.517,0.179
16-11-2020  02,19.0379,17.38167,-1.65623,81.08849,81.91111,0.82262,5.58097,3.28175,-2.29922,49.4266,0.564,-48.8626,1.038
16-11-2020  03,19.65134,18.07055,-1.58079,82.65317,102.6972,20.04403,6.41935,3.30493,-3.11442,198.8002,2.17,-196.6302,17.31
16-11-2020  04,20.79163,18.72861,-2.06302,84.14933,113.4125,29.26317,6.21203,4.064194,-2.147836,359.27371,6.861,-352.41271,63.38
16-11-2020  05,22.03094,19.31139,-2.71955,83.064,121.0722,38.0082,7.792,3.652861,-4.139139,494.97989,24.65,-470.32989,226
16-11-2020  06,23.50909,20.18333,-3.32576,94.21915,141.9917,47.77255,6.68296,2.996528,-3.686432,560.15094,38.34,-521.81094,312.9
16-11-2020  07,24.78497,21.43889,-3.34608,83.94595,154.6444,70.69845,5.77597,2.544528,-3.231442,584.45148,68.96,-515.49148,459.3
16-11-2020  08,25.48627,22.61375,-2.87252,80.44762,163.1528,82.70518,3.88555,2.221153,-1.664397,519.1131,71.08,-448.0331,476.6
16-11-2020  09,27.83353,23.54106,-4.29247,75.14456,116.7483,41.60374,1.29222,1.75745,0.46523,0,68.24,68.24,442.3
16-11-2020  10,27.67963,23.21708,-4.46255,358.16339,107.3167,-250.84669,1.37715,2.021514,0.644364,289.28464,23.47,-265.81464,146.1
16-11-2020  11,27.39182,23.03861,-4.35321,82.54575,135.0708,52.52505,0.33042,1.229556,0.899136,112.2341,8.97,-103.2641,54.35
16-11-2020  12,26.81479,22.905,-3.90979,71.53957,136.7083,65.16873,1.42966,0.7710138,-0.6586462,0,4.112,4.112,20.03
16-11-2020  13,26.02707,22.72028,-3.30679,102.28339,84.07638,-18.20701,2.97195,0.9016944,-2.0702556,0,2.004,2.004,2.815
16-11-2020  14,25.01721,22.73361,-2.2836,77.08791,90.18056,13.09265,2.54465,0.5108611,-2.0337889,0,2.094,2.094,0.708
16-11-2020  15,24.47827,22.04514,-2.43313,62.06874,293.2875,231.21876,1.82205,1.552319,-0.269731,0,1.867,1.867,0.064
16-11-2020  16,23.95969,21.46028,-2.49941,60.94815,289.5,228.55185,2.48596,1.900014,-0.585946,0,1.97,1.97,-0.51
16-11-2020  17,23.41745,20.92069,-2.49676,55.6031,292.7403,237.1372,1.26356,1.088153,-0.175407,0,4.393,4.393,-1.221
16-11-2020  18,23.02802,20.67486,-2.35316,55.48387,278.8667,223.38283,1.64463,1.216417,-0.428213,0,4.392,4.392,-0.95
16-11-2020  19,22.64639,19.49264,-3.15375,49.25323,283.825,234.57177,1.23843,1.823931,0.585501,0,4.277,4.277,-2.075
16-11-2020  20,22.15643,18.71514,-3.44129,36.50122,279.6861,243.18488,1.31707,1.640444,0.323374,0,4.369,4.369,-1.803
16-11-2020  21,21.84628,18.1793,-3.66698,26.144,279.9389,253.7949,1.36459,1.365972,0.001382,0,4.576,4.576,-1.784
16-11-2020  22,21.45721,17.66333,-3.79388,4.85039,288.7528,283.90241,0.74222,0.9337361,0.1915161,0,4.483,4.483,-1.173
16-11-2020  23,21.21652,17.26403,-3.95249,328.77588,280.1431,-48.63278,1.00935,1.181486,0.172136,0,4.957,4.957,-1.497
17-11-2020  00,20.98651,16.70875,-4.27776,346.93103,285.1042,-61.82683,1.51845,1.527333,0.008883,0,4.306,4.306,-1.502
17-11-2020  01,20.69241,16.64236,-4.05005,334.70575,282.5847,-52.12105,1.15987,1.528514,0.368644,0,4.43,4.43,-1.438
17-11-2020  02,20.73059,15.61778,-5.11281,337.54187,281.4542,-56.08767,0.43871,2.323167,1.884457,51.21461,4.155,-47.05961,0.57
17-11-2020  03,21.69266,15.63611,-6.05655,319.80807,277.6403,-42.16777,0.54036,2.042194,1.501834,205.28531,11.15,-194.13531,63.68
17-11-2020  04,23.28738,16.83722,-6.45016,321.98575,273.4055,-48.58025,0.91335,2.160847,1.247497,374.55621,24.72,-349.83621,209.5
17-11-2020  05,24.91235,18.30375,-6.6086,328.46182,271.3569,-57.10492,1.16276,2.147153,0.984393,505.70663,47.03,-458.67663,388.6
17-11-2020  06,25.90506,20.28597,-5.61909,320.78809,297.2167,-23.57139,2.64994,2.144417,-0.505523,593.72156,71.45,-522.27156,524.5
17-11-2020  07,27.43661,22.13083,-5.30578,301.74472,293.7861,-7.95862,3.74139,3.065389,-0.676001,593.11627,83.5,-509.61627,626.8
17-11-2020  08,27.73569,23.26889,-4.4668,261.15973,249.6319,-11.52783,3.2862,3.69343,0.40723,559.44232,86.2,-473.24232,634.9
17-11-2020  09,26.84375,23.94069,-2.90306,311.37708,182.3097,-129.06738,3.19832,3.7915,0.59318,0,79.98,79.98,585.4
17-11-2020  10,26.27579,24.54125,-1.73454,326.30499,189.7389,-136.56609,4.06375,3.204972,-0.858778,308.01694,65.85,-242.16694,450.5
17-11-2020  11,25.58606,24.50333,-1.08273,296.19403,317.575,21.38097,4.21901,3.524403,-0.694607,126.27628,42.56,-83.71628,252.7
17-11-2020  12,24.65991,23.9768,-0.68311,289.73969,318.9625,29.22281,4.18748,3.421486,-0.765994,0,19.35,19.35,88.8
17-11-2020  13,24.12857,22.89153,-1.23704,314.13641,304.1083,-10.02811,2.52039,2.586319,0.065929,0,6.54,6.54,4.937
17-11-2020  14,23.4454,22.05222,-1.39318,347.11975,305.3445,-41.77525,1.53764,2.364597,0.826957,0,5.693,5.693,-1.567
17-11-2020  15,22.84293,21.08028,-1.76265,4.63457,315.2986,310.66403,1.07965,2.266847,1.187197,0,5.668,5.668,-1.45
17-11-2020  16,22.20358,20.31819,-1.88539,9.114,321.0986,311.9846,1.57356,2.53993,0.96637,0,5.091,5.091,-2.126
17-11-2020  17,21.63132,19.9018,-1.72952,326.27094,329.7389,3.46796,1.03516,2.24293,1.20777,0,5.327,5.327,-2.092
17-11-2020  18,21.16714,19.57819,-1.58895,311.92657,328.9055,16.97893,1.6915,2.052625,0.361125,0,5.375,5.375,-1.786
17-11-2020  19,20.5477,18.38611,-2.16159,325.4754,85.52362,-239.95178,2.24936,0.9195694,-1.3297906,0,5.28,5.28,0.498
17-11-2020  20,20.05411,18.32708,-1.72703,327.70169,230.0611,-97.64059,2.25592,1.519958,-0.735962,0,5.332,5.332,-1.668
17-11-2020  21,19.53491,17.45764,-2.07727,336.32355,179.0083,-157.31525,2.10828,0.8841527,-1.2241273,0,4.997,4.997,-0.455
17-11-2020  22,19.11493,17.32486,-1.79007,335.48779,320.9167,-14.57109,2.0609,1.304708,-0.756192,0,5.391,5.391,-1.311
17-11-2020  23,18.76031,16.62069,-2.13962,329.56854,294.925,-34.64354,2.0378,0.7872638,-1.2505362,0,5.029,5.029,-0.379
18-11-2020  00,18.42899,16.05736,-2.37163,325.64825,312.9722,-12.67605,1.69403,1.610319,-0.083711,0,4.76,4.76,-1.657
18-11-2020  01,18.08804,15.35736,-2.73068,329.18793,277.9445,-51.24343,1.86111,1.548056,-0.313054,0,4.593,4.593,-2.086
18-11-2020  02,18.25711,14.56083,-3.69628,317.07062,281.6097,-35.46092,1.91493,1.589542,-0.325388,65.30688,4.726,-60.58088,0.307
18-11-2020  03,19.27719,15.16153,-4.11566,304.98514,273.2153,-31.76984,1.71866,1.132347,-0.586313,252.18246,11.9,-240.28246,62.28
18-11-2020  04,21.05978,16.55667,-4.50311,318.27563,270.4319,-47.84373,2.14433,0.803625,-1.340705,434.05469,24.45,-409.60469,212.4
18-11-2020  05,22.81042,19.23528,-3.57514,339.43408,239.5667,-99.86738,2.18097,2.413389,0.232419,580.95782,43.38,-537.57782,389.9
18-11-2020  06,23.78897,20.80528,-2.98369,354.01801,171.2986,-182.71941,2.78582,3.011833,0.226013,662.47418,74.07,-588.40418,541.6
18-11-2020  07,25.0867,21.75125,-3.33545,4.83987,276.1583,271.31843,2.57835,2.534208,-0.044142,665.91766,82,-583.91766,613.6
18-11-2020  08,26.13553,22.53666,-3.59887,280.74561,272.4431,-8.30251,2.84297,2.353806,-0.489164,621.44012,82,-539.44012,604
18-11-2020  09,25.72198,23.27847,-2.44351,301.90375,258.8042,-43.09955,2.30905,2.221903,-0.087147,0,73.7,73.7,526.2
18-11-2020  10,25.27185,23.13527,-2.13658,297.23865,308.4458,11.20715,4.09015,3.142153,-0.947997,335.88687,60.34,-275.54687,391.2
18-11-2020  11,24.81235,23.09194,-1.72041,304.53506,303.1847,-1.35036,4.05077,2.560555,-1.490215,139.64285,38.94,-100.70285,226.4
18-11-2020  12,23.90335,22.60958,-1.29377,304.06213,300.7653,-3.29683,3.41207,2.35018,-1.06189,0,18.05,18.05,81.5
18-11-2020  13,23.24438,21.52014,-1.72424,310.44336,317.7861,7.34274,2.59952,1.217625,-1.381895,0,7.399,7.399,5.326
18-11-2020  14,22.58621,20.73333,-1.85288,344.94922,185.1944,-159.75482,1.93477,1.253403,-0.681367,0,6.386,6.386,0.37
18-11-2020  15,21.92014,20.27056,-1.64958,358.9549,33.25972,-325.69518,1.98523,1.322056,-0.663174,0,6.35,6.35,0.531
18-11-2020  16,21.40509,19.73042,-1.67467,4.2554,27.39722,23.14182,1.92574,1.612014,-0.313726,0,5.861,5.861,-0.255
18-11-2020  17,20.86893,18.67805,-2.19088,8.84908,64.425,55.57592,1.60946,0.6330138,-0.9764462,0,5.335,5.335,1.191
18-11-2020  18,20.3667,17.94611,-2.42059,14.22681,87.92083,73.69402,1.03298,0.5537916,-0.4791884,0,5.168,5.168,0.737
18-11-2020  19,20.01123,17.35361,-2.65762,13.26665,128.8014,115.53475,1.42286,0.5368611,-0.8859989,0,4.345,4.345,0.178
18-11-2020  20,19.66153,16.53208,-3.12945,348.74335,61.58472,-287.15863,1.30948,0.7745833,-0.5348967,0,5.07,5.07,-0.231
18-11-2020  21,19.37808,15.99681,-3.38127,318.33875,102.557,-215.78175,1.28056,0.7000694,-0.5804906,0,4.404,4.404,0.29
18-11-2020  22,19.05142,15.96583,-3.08559,320.42786,91.37083,-229.05703,1.3869,0.6634583,-0.7234417,0,4.433,4.433,-0.12
18-11-2020  23,18.7699,15.52181,-3.24809,307.29532,91.70973,-215.58559,1.34456,0.5867222,-0.7578378,0,4.485,4.485,0.143
19-11-2020  00,18.24783,15.20486,-3.04297,237.07605,142.0722,-95.00385,1.02671,0.3732916,-0.6534184,0,4.047,4.047,-0.053
19-11-2020  01,17.8909,15.13764,-2.75326,259.47351,178.8667,-80.60681,1.19167,0.6754306,-0.5162394,0,4.034,4.034,0.058
